HBA,HBD,TPSA,dipole,excitation_energy_1,excitation_energy_2,excitation_energy_3,excitation_energy_4,homo_energy,homo_lumo_gap,logP,lumo_energy,melting_point,molecular_refractivity,oscillator_strength_1,oscillator_strength_2,oscillator_strength_3,oscillator_strength_4,pccdb_id,smiles
6,4,121.1,5.36,4.831,5.082,5.331,5.507,-6.011,5.323,0.372,-0.688,278.95,38.15,0.3428,0.0,0.0,0.1854,155,OC(=N)Nc1[nH]cnc1C(=O)O
4,2,49.84,1.37,3.93,4.373,4.612,4.863,-5.001,4.446,0.59,-0.555,127.02,44.4,0.1443,0.0082,0.0007,0.0892,156,C1CN=c2c(N1)cnc[nH]2
7,5,135.29,5.12,3.823,5.015,5.548,5.683,-7.056,5.521,-3.285,-1.535,146.46,37.58,0.0001,0.0093,0.0187,0.0013,157,OCC(=O)[C@@H]([C@@H]([C@@H](C(=O)O)O)O)O
6,2,108.93,5.35,4.759,5.12,5.295,5.508,-6.618,5.959,0.099,-0.659,192.69,55.46,0.0019,0.0016,0.0006,0.0136,162,OC(=O)[C@@H]1N2C(=O)[C@H]([C@@H]2SC1(C)C)N
4,0,50.5,2.4,1.999,3.102,3.391,4.172,-6.558,3.181,-2.399,-3.377,133.73,40.61,0.0001,0.0021,0.0576,0.0005,167,C1CN=c2c([N]1)cnc[n]2
2,2,40.46,2.48,6.266,6.415,7.187,7.332,-7.037,8.743,-1.029,1.706,13.33,14.05,0.0031,0.0206,0.0183,0.0189,174,OCCO
2,1,37.3,4.3,5.72,6.521,7.575,7.706,-7.415,7.668,0.091,0.253,53.25,13.5,0.001,0.0222,0.0042,0.0165,176,CC(=O)O
1,0,17.07,2.64,4.318,6.665,7.144,7.634,-6.944,6.351,0.205,-0.593,7.82,11.93,0.0,0.0251,0.075,0.0401,177,CC=O
2,1,43.09,4.24,6.256,6.308,6.333,7.213,-7.135,7.919,0.192,0.784,51.73,14.64,0.0018,0.001,0.0255,0.0118,178,CC(=N)O
2,1,37.3,1.76,4.155,5.901,6.493,6.566,-6.468,5.943,-0.044,-0.525,14.77,22.7,0.0001,0.0033,0.0184,0.0208,179,CC(=O)[C@@H](O)C
1,0,17.07,2.61,4.299,6.181,7.054,7.387,-6.615,6.147,0.595,-0.468,-3.18,16.73,0.0,0.0529,0.0027,0.0,180,CC(=O)C
5,2,93.64,3.53,5.871,6.644,6.753,7.17,-8.313,7.429,-0.358,-0.884,77.21,24.0,0.0009,0.0138,0.0312,0.0104,186,CC(=O)OP(=O)(O)O
5,2,89.62,4.77,5.561,5.646,5.927,6.002,-6.863,6.286,-0.338,-0.577,117.95,31.91,0.0075,0.0014,0.0009,0.0044,189,CC(=O)OC[C@@H](C(=O)O)N
4,2,80.48,4.09,4.334,4.65,4.714,5.057,-5.842,4.724,0.516,-1.118,191.6,36.09,0.0849,0.1237,0.0004,0.0028,190,Nc1nc[nH]c2c1ncn2
4,2,74.6,8.29,5.46,5.576,5.784,5.848,-6.748,6.063,0.716,-0.686,127.75,34.5,0.0011,0.0006,0.0003,0.0004,196,OC(=O)CCCCC(=O)O
4,3,90.42,3.46,5.229,5.595,5.826,6.001,-5.978,7.608,1.1,1.63,154.71,37.96,0.0019,0.0129,0.0056,0.0013,199,NCCCCNC(=[NH2])[NH]
8,5,147.54,2.36,5.291,5.633,5.835,6.079,-6.822,6.31,-0.084,-0.512,278.23,35.31,0.0054,0.0048,0.0083,0.002,203,OC(=O)C(NC(=N)O)NC(=N)O
7,4,113.32,3.13,4.774,5.266,5.458,5.774,-6.7,5.785,-0.431,-0.914,217.97,39.55,0.0046,0.0236,0.016,0.0027,204,OC(=N)N[C@H]1N=[C](=[N]=C1O)O
4,3,83.55,4.38,5.63,5.973,6.102,6.382,-6.808,7.26,-0.521,0.452,124.79,26.98,0.0013,0.0003,0.008,0.0013,205,C[C@@H]([C@@H](C(=O)O)N)O
4,2,80.39,5.48,4.15,5.402,5.626,6.019,-6.944,6.106,0.468,-0.838,136.57,35.64,0.0,0.0026,0.0004,0.0008,207,O=CCCC[C@@H](C(=O)O)N
2,1,43.09,2.9,4.304,5.413,5.79,6.264,-6.411,6.112,0.234,-0.299,51.07,19.44,0.0001,0.0072,0.0057,0.0257,215,CC(=O)CN
6,4,116.39,8.55,3.454,3.899,4.35,4.62,-5.301,4.016,-1.003,-1.284,253.03,57.89,0.1585,0.0052,0.2846,0.0001,218,OCC1=NC2=C(NC1)NC(=[N]=C2O)[NH]
